country,date,experiment_id,order_id,spend_usd,user_bucket,user_id,vertical
,,12624549,,0,3,1.66E+19,
,,12624548,,0,14,1.44E+19,
,,12624549,,0,20,8.43E+18,
,,12624549,,0,16,1.13E+19,
,,12624549,,0,14,1.40E+18,
,,12624549,,0,3,2.99E+17,
,,12624548,,0,6,7.17E+18,
,,12624549,,0,15,8.56E+17,
,,12624548,,0,4,7.07E+18,
,,12624549,,0,5,1.03E+19,
,,12624549,,0,16,1.75E+19,
,,12624548,,0,8,6.14E+18,
,,12624549,,0,17,4.48E+18,
JP,4/7/17,12624549,1.12E+19,2.164181,14,1.09E+19,GAMES
,,12624549,,0,18,1.72E+19,
,,12624549,,0,19,1.82E+19,
ID,4/2/17,12624548,6.15E+18,0.975841,9,1.27E+19,GAMES
ID,4/2/17,12624548,1.47E+19,2.868148,9,1.27E+19,GAMES
,,12624549,,0,17,1.44E+19,
JP,4/6/17,12624548,1.25E+19,26.174415,4,1.10E+19,GAMES
JP,4/4/17,12624548,3.01E+18,1.08475,4,1.10E+19,GAMES
,,12624548,,0,9,2.11E+18,
,,12624548,,0,1,1.07E+19,
,,12624549,,0,5,1.32E+19,
,,12624549,,0,4,9.00E+18,
,,12624549,,0,16,1.74E+18,
US,4/1/17,12624549,5.13E+18,49.99,6,1.58E+19,GAMES
US,4/7/17,12624549,1.60E+19,9.99,6,1.58E+19,GAMES
US,4/7/17,12624549,1.24E+19,9.99,6,1.58E+19,GAMES
US,4/7/17,12624549,7.92E+18,9.99,6,1.58E+19,GAMES
,,12624549,,0,17,1.55E+19,
,,12624548,,0,11,1.71E+18,
,,12624549,,0,19,3.94E+18,
,,12624549,,0,20,3.46E+18,
,,12624548,,0,1,2.54E+18,
,,12624549,,0,20,4.05E+17,
,,12624549,,0,8,8.09E+18,
,,12624548,,0,8,9.94E+18,
,,12624549,,0,11,6.63E+18,
,,12624548,,0,17,1.29E+19,
,,12624548,,0,17,1.39E+19,
,,12624548,,0,1,1.11E+19,
,,12624548,,0,18,9.64E+18,
,,12624548,,0,5,6.17E+18,
,,12624549,,0,18,1.45E+19,
KR,4/1/17,12624549,8.27E+18,5.59,15,9.30E+18,GAMES
,,12624549,,0,9,9.24E+18,
,,12624548,,0,15,8.98E+18,
,,12624548,,0,20,1.49E+19,
,,12624548,,0,5,1.69E+19,
,,12624549,,0,19,1.20E+19,
US,4/6/17,12624549,4.76E+18,1.99,12,1.11E+19,GAMES
US,4/6/17,12624549,1.72E+19,9.99,12,1.11E+19,GAMES
,,12624548,,0,17,6.18E+18,
,,12624548,,0,4,5.97E+18,
,,12624549,,0,19,6.60E+18,
,,12624548,,0,14,1.25E+19,
,,12624548,,0,7,1.72E+19,
,,12624548,,0,15,9.33E+18,
,,12624549,,0,8,8.90E+17,
,,12624548,,0,15,2.15E+18,
,,12624548,,0,4,1.09E+19,
TR,4/2/17,12624549,7.48E+18,2.745827,15,2.61E+18,GAMES
,,12624548,,0,5,8.50E+18,
,,12624548,,0,10,1.52E+18,
,,12624549,,0,8,7.84E+18,
,,12624549,,0,11,1.28E+19,
,,12624548,,0,20,1.78E+19,
,,12624549,,0,10,1.10E+19,
,,12624549,,0,15,2.32E+18,
,,12624549,,0,8,1.04E+19,
,,12624548,,0,19,8.73E+18,
,,12624548,,0,8,5.01E+18,
,,12624548,,0,11,1.17E+19,
,,12624548,,0,13,6.98E+18,
,,12624549,,0,17,6.92E+18,
JP,4/7/17,12624548,1.29E+19,1.262439,17,6.49E+18,GAMES
,,12624548,,0,9,1.23E+19,
,,12624548,,0,18,2.59E+18,
,,12624548,,0,5,1.61E+19,
,,12624548,,0,15,5.21E+18,
,,12624548,,0,15,8.66E+18,
,,12624549,,0,1,1.39E+16,
,,12624549,,0,13,1.49E+19,
,,12624548,,0,12,3.02E+18,
,,12624549,,0,1,1.58E+19,
ID,4/1/17,12624548,7.38E+18,1.013674,8,1.89E+18,GAMES
ID,4/6/17,12624548,1.57E+19,1.013078,8,1.89E+18,GAMES
ID,4/1/17,12624548,1.06E+19,1.013674,8,1.89E+18,GAMES
,,12624548,,0,7,1.53E+19,
,,12624548,,0,3,1.61E+19,
,,12624549,,0,11,1.78E+19,
,,12624548,,0,20,6.09E+18,
,,12624549,,0,1,3.35E+18,
,,12624549,,0,2,1.12E+19,
,,12624548,,0,5,1.17E+19,
,,12624548,,0,14,2.55E+18,
,,12624548,,0,5,1.19E+19,
,,12624549,,0,7,9.78E+18,
BR,4/4/17,12624549,8.55E+18,0.804357,8,1.76E+19,GAMES
,,12624549,,0,12,3.36E+18,
,,12624549,,0,20,4.97E+18,
,,12624549,,0,17,9.58E+18,
,,12624549,,0,7,4.75E+18,
,,12624548,,0,13,8.18E+18,
,,12624548,,0,17,8.99E+17,
,,12624548,,0,3,7.45E+18,
,,12624548,,0,5,1.53E+19,
,,12624548,,0,1,8.33E+18,
US,4/4/17,12624549,1.34E+19,4.99,5,3.71E+18,GAMES
,,12624548,,0,6,5.00E+18,
,,12624549,,0,13,1.83E+19,
,,12624548,,0,2,1.95E+18,
JP,4/7/17,12624549,1.14E+19,14.427879,3,1.10E+19,GAMES
JP,4/7/17,12624549,6.53E+18,26.150531,3,1.10E+19,GAMES
JP,4/1/17,12624549,1.54E+19,21.518474,3,1.10E+19,GAMES
,,12624548,,0,19,5.90E+18,
,,12624549,,0,6,1.09E+19,
,,12624548,,0,8,1.77E+19,
,,12624548,,0,17,1.61E+19,
,,12624548,,0,11,1.60E+19,
,,12624549,,0,11,1.07E+19,
,,12624549,,0,12,1.19E+19,
,,12624548,,0,3,1.71E+19,
,,12624549,,0,15,7.92E+18,
,,12624549,,0,17,1.29E+19,
,,12624549,,0,10,1.39E+19,
,,12624549,,0,5,1.24E+19,
,,12624549,,0,5,5.60E+17,
JP,4/6/17,12624549,1.37E+19,6.498475,19,4.15E+18,GAMES
,,12624549,,0,4,1.09E+18,
JP,4/1/17,12624549,1.21E+19,48.416566,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.16E+18,48.416566,10,1.79E+19,GAMES
JP,4/1/17,12624549,6.79E+18,48.416566,10,1.79E+19,GAMES
JP,4/6/17,12624549,1.62E+19,88.451472,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.75E+19,48.416566,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.40E+19,48.416566,10,1.79E+19,GAMES
JP,4/6/17,12624549,1.11E+19,48.738566,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.44E+19,48.416566,10,1.79E+19,GAMES
JP,4/6/17,12624549,1.29E+19,88.451472,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.65E+19,48.416566,10,1.79E+19,GAMES
JP,4/1/17,12624549,5.98E+18,48.416566,10,1.79E+19,GAMES
JP,4/5/17,12624549,1.05E+19,48.717045,10,1.79E+19,GAMES
JP,4/1/17,12624549,5.88E+18,26.898092,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.68E+18,48.416566,10,1.79E+19,GAMES
JP,4/1/17,12624549,1.06E+19,48.416566,10,1.79E+19,GAMES
,,12624548,,0,10,1.32E+19,
,,12624549,,0,15,9.48E+17,
,,12624549,,0,9,6.14E+18,
,,12624548,,0,13,6.96E+18,
JP,4/4/17,12624548,1.92E+18,6.495606,18,1.39E+19,GAMES
JP,4/7/17,12624548,7.55E+18,6.492545,18,1.39E+19,GAMES
JP,4/7/17,12624548,1.74E+19,2.164181,18,1.39E+19,GAMES
JP,4/7/17,12624548,9.52E+18,6.492545,18,1.39E+19,GAMES
JP,4/1/17,12624548,3.36E+18,6.455542,18,1.39E+19,GAMES
JP,4/4/17,12624548,4.82E+18,6.495606,18,1.39E+19,GAMES
JP,4/3/17,12624548,2.54E+17,6.481476,18,1.39E+19,GAMES
JP,4/3/17,12624548,1.59E+19,2.160492,18,1.39E+19,GAMES
JP,4/4/17,12624548,9.03E+18,6.508501,18,1.39E+19,GAMES
JP,4/2/17,12624548,6.64E+18,2.151847,18,1.39E+19,GAMES
JP,4/2/17,12624548,1.28E+19,6.455542,18,1.39E+19,GAMES
,,12624548,,0,6,1.34E+19,
,,12624548,,0,1,1.67E+19,
US,4/3/17,12624549,7.54E+18,1.99,10,7.23E+18,GAMES
,,12624549,,0,10,2.68E+18,
AT,4/1/17,12624549,1.38E+19,10.661877,1,1.07E+19,GAMES
,,12624548,,0,16,1.52E+19,
,,12624548,,0,7,1.58E+19,
,,12624549,,0,3,1.50E+19,
,,12624548,,0,20,7.85E+18,
,,12624549,,0,19,1.73E+19,
,,12624549,,0,13,1.25E+19,
,,12624548,,0,9,5.34E+18,
,,12624548,,0,9,1.04E+19,
,,12624548,,0,7,5.19E+18,
,,12624548,,0,1,5.36E+18,
,,12624549,,0,5,5.42E+18,
,,12624548,,0,10,8.21E+18,
,,12624549,,0,16,4.61E+18,
,,12624549,,0,12,2.46E+17,
,,12624549,,0,3,7.45E+18,
